,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Khatassy,40,RU,1562530589,67,61.91,129.64,16.0,3.0
1,Zhigansk,100,RU,1562530589,96,66.77,123.37,11.5,4.3
2,Bluff,100,AU,1562530589,80,-23.58,149.07,16.0,5.44
3,Ushuaia,0,AR,1562530504,92,-54.81,-68.31,2.0,3.1
4,Bredasdorp,67,ZA,1562530590,76,-34.53,20.04,15.0,2.6
5,Hay River,75,CA,1562530590,62,60.82,-115.79,15.0,3.6
6,Lazaro Cardenas,75,MX,1562530590,45,28.39,-105.62,30.56,2.1
7,Antalaha,53,MG,1562530590,96,-14.9,50.28,18.19,1.55
8,Norman Wells,75,CA,1562530591,66,65.28,-126.83,11.0,4.6
9,Cape Town,40,ZA,1562530305,87,-33.93,18.42,14.44,5.1
10,Mar del Plata,100,AR,1562530328,72,-46.43,-67.52,5.53,1.53
11,Port Alfred,0,ZA,1562530591,81,-33.59,26.89,14.44,2.68
12,Hobart,0,AU,1562530591,86,-42.88,147.33,6.11,3.1
13,Rikitea,100,PF,1562530591,78,-23.12,-134.97,22.4,16.4
14,Nizhneudinsk,65,RU,1562530592,87,54.91,99.03,12.06,0.99
15,Requena,40,ES,1562530592,74,39.49,-1.1,26.67,3.6
16,Tasiilaq,0,GL,1562530592,53,65.61,-37.64,11.0,3.1
17,Rio Gallegos,75,AR,1562530592,81,-51.62,-69.22,7.0,3.1
18,Avarua,94,CK,1562530593,69,-21.21,-159.78,23.0,5.1
19,Castro,90,CL,1562530593,100,-42.48,-73.76,10.0,8.7
20,Okhotsk,0,RU,1562530593,79,59.36,143.24,11.25,1.99
21,Pangnirtung,90,CA,1562530593,100,66.15,-65.72,8.0,3.6
22,Palmer,75,AU,1562530594,87,-34.85,139.16,10.0,3.1
23,Leningradskiy,25,RU,1562530594,62,69.38,178.42,12.33,2.32
24,Genhe,6,CN,1562530594,81,50.78,121.52,11.4,1.23
25,Albany,1,US,1562530594,36,42.65,-73.75,28.33,3.1
26,Cockburn Town,40,TC,1562530595,62,21.46,-71.14,32.0,5.1
27,Sao Filipe,36,CV,1562530595,82,14.9,-24.5,22.69,5.56
